emp_no,dept_no
10000,d005
10001,d007
10002,d004
10003,d004
10004,d003
10005,d005
10006,d008
10007,d005
10008,d006
10009,d004
10010,d006
10011,d009
10012,d005
10013,d003
10014,d005
10015,d008
10016,d007
10017,d001
10018,d004
10019,d005
10020,d008
10021,d004
10022,d005
10023,d005
10024,d005
10025,d004
10026,d005
10027,d004
10028,d005
10029,d005
10030,d004
10031,d006
10032,d004
10033,d005
10034,d004
10035,d006
10036,d007
10037,d004
10038,d003
10039,d005
10040,d009
10041,d003
10042,d005
10043,d008
10044,d007
10045,d002
10046,d005
10047,d004
10048,d004
10049,d008
10050,d004
10051,d005
10052,d009
10053,d002
10054,d007
10055,d004
10056,d008
10057,d007
10058,d003
10059,d001
10060,d005
10061,d005
10062,d001
10063,d002
10064,d007
10065,d009
10066,d007
10067,d005
10068,d004
10069,d008
10070,d005
10071,d005
10072,d006
10073,d007
10074,d004
10075,d005
10076,d008
10077,d003
10078,d005
10079,d006
10080,d005
10081,d005
10082,d005
10083,d003
10084,d005
10085,d005
10086,d002
10087,d003
10088,d004
10089,d008
10090,d004
10091,d004
10092,d004
10093,d003
10094,d007
10095,d007
10096,d009
10097,d007
10098,d005
10099,d005
10100,d005
10101,d007
10102,d008
10103,d007
10104,d004
10105,d008
10106,d004
10107,d009
10108,d007
10109,d003
10110,d007
10111,d004
10112,d005
10113,d008
10114,d003
10115,d004
10116,d007
10117,d001
10118,d003
10119,d004
10120,d003
10121,d006
10122,d009
10123,d004
10124,d008
10125,d009
10126,d005
10127,d008
10128,d004
10129,d005
10130,d004
10131,d004
10132,d005
10133,d005
10134,d004
10135,d004
10136,d006
10137,d007
10138,d009
10139,d005
10140,d009
10141,d005
10142,d004
10143,d004
10144,d002
10145,d004
10146,d004
10147,d005
10148,d004
10149,d007
10150,d009
10151,d006
10152,d005
10153,d001
10154,d008
10155,d005
10156,d005
10157,d002
10158,d003
10159,d005
10160,d002
10161,d002
10162,d007
10163,d007
10164,d005
10165,d007
10166,d006
10167,d005
10168,d009
10169,d004
10170,d008
10171,d006
10172,d005
10173,d004
10174,d006
10175,d007
10176,d004
10177,d004
10178,d003
10179,d004
10180,d009
10181,d002
10182,d005
10183,d004
10184,d008
10185,d005
10186,d004
10187,d004
10188,d005
10189,d008
10190,d002
10191,d004
10192,d001
10193,d009
10194,d002
10195,d007
10196,d005
10197,d002
10198,d005
10199,d005
10200,d008
10201,d009
10202,d009
10203,d007
10204,d002
10205,d002
10206,d004
10207,d005
10208,d004
10209,d005
10210,d004
10211,d006
10212,d005
10213,d002
10214,d004
10215,d002
10216,d005
10217,d005
10218,d007
10219,d004
10220,d006
10221,d005
10222,d005
10223,d008
10224,d005
10225,d004
10226,d005
10227,d005
10228,d001
10229,d002
10230,d007
10231,d009
10232,d005
10233,d005
10234,d009
10235,d007
10236,d007
10237,d008
10238,d004
10239,d004
10240,d005
10241,d009
10242,d002
10243,d004
10244,d004
10245,d005
10246,d004
10247,d009
10248,d007
10249,d005
10250,d001
10251,d007
10252,d006
10253,d008
10254,d009
10255,d007
10256,d003
10257,d007
10258,d004
10259,d007
10260,d007
10261,d005
10262,d008
10263,d001
10264,d006
10265,d002
10266,d004
10267,d007
10268,d005
10269,d008
10270,d004
10271,d004
10272,d007
10273,d005
10274,d008
10275,d006
10276,d008
10277,d004
10278,d007
10279,d007
10280,d004
10281,d007
10282,d004
10283,d005
10284,d001
10285,d009
10286,d004
10287,d005
10288,d007
10289,d002
10290,d005
10291,d006
10292,d004
10293,d004
10294,d004
10295,d005
10296,d004
10297,d007
10298,d005
10299,d002
10300,d007
10301,d005
10302,d005
10303,d005
10304,d007
10305,d005
10306,d004
10307,d009
10308,d003
10309,d006
10310,d004
10311,d005
10312,d004
10313,d008
10314,d009
10315,d005
10316,d008
10317,d004
10318,d005
10319,d005
10320,d007
10321,d007
10322,d004
10323,d005
10324,d002
10325,d007
10326,d004
10327,d004
10328,d008
10329,d007
10330,d004
10331,d002
10332,d007
10333,d004
10334,d007
10335,d005
10336,d007
10337,d004
10338,d006
10339,d007
10340,d005
10341,d004
10342,d005
10343,d004
10344,d008
10345,d007
10346,d005
10347,d006
10348,d004
10349,d008
10350,d005
10351,d007
10352,d007
10353,d007
10354,d005
10355,d004
10356,d005
10357,d003
10358,d008
10359,d005
10360,d008
10361,d005
10362,d004
10363,d007
10364,d007
10365,d004
10366,d005
10367,d009
10368,d007
10369,d009
10370,d008
10371,d004
10372,d009
10373,d004
10374,d001
10375,d004
10376,d005
10377,d006
10378,d004
10379,d006
10380,d005
10381,d007
10382,d008
10383,d004
10384,d009
10385,d004
10386,d002
10387,d005
10388,d001
10389,d002
10390,d003
10391,d007
10392,d008
10393,d006
10394,d005
10395,d005
10396,d003
